ens,symbol
ENSG00000000971.16,CFH
ENSG00000002726.20,AOC1
ENSG00000002933.9,TMEM176A
ENSG00000003147.19,ICA1
ENSG00000003436.16,TFPI
ENSG00000003989.18,SLC7A2
ENSG00000004799.8,PDK4
ENSG00000005073.6,HOXA11
ENSG00000005108.16,THSD7A
ENSG00000005249.13,PRKAR2B
ENSG00000005381.8,MPO
ENSG00000005961.19,ITGA2B
ENSG00000006638.13,TBXA2R
ENSG00000007038.11,PRSS21
ENSG00000007062.11,PROM1
ENSG00000007384.15,RHBDF1
ENSG00000008311.15,AASS
ENSG00000010278.14,CD9
ENSG00000011105.14,TSPAN9
ENSG00000018236.15,CNTN1
ENSG00000019991.18,HGF
ENSG00000020181.18,ADGRA2
ENSG00000023171.18,GRAMD1B
ENSG00000024422.12,EHD2
ENSG00000037280.16,FLT4
ENSG00000041353.10,RAB27B
ENSG00000043591.6,ADRB1
ENSG00000046604.13,DSG2
ENSG00000046889.19,PREX2
ENSG00000048052.21,HDAC9
ENSG00000049247.13,UTS2
ENSG00000049323.16,LTBP1
ENSG00000049540.17,ELN
ENSG00000050555.18,LAMC3
ENSG00000050628.20,PTGER3
ENSG00000050767.17,COL23A1
ENSG00000054598.9,FOXC1
ENSG00000054793.14,ATP9A
ENSG00000057294.15,PKP2
ENSG00000060982.15,BCAT1
ENSG00000062524.16,LTK
ENSG00000064692.19,SNCAIP
ENSG00000064989.13,CALCRL
ENSG00000065054.14,SLC9A3R2
ENSG00000065833.9,ME1
ENSG00000066056.14,TIE1
ENSG00000066279.18,ASPM
ENSG00000067798.16,NAV3
ENSG00000069188.17,SDK2
ENSG00000070371.16,CLTCL1
ENSG00000072422.17,RHOBTB1
ENSG00000072694.21,FCGR2B
ENSG00000072840.13,EVC
ENSG00000073282.13,TP63
ENSG00000073756.12,PTGS2
ENSG00000074181.9,NOTCH3
ENSG00000075223.14,SEMA3C
ENSG00000075391.16,RASAL2
ENSG00000077327.16,SPAG6
ENSG00000077782.21,FGFR1
ENSG00000077942.19,FBLN1
ENSG00000077984.6,CST7
ENSG00000078295.17,ADCY2
ENSG00000078399.19,HOXA9
ENSG00000079102.16,RUNX1T1
ENSG00000079156.17,OSBPL6
ENSG00000079819.19,EPB41L2
ENSG00000080031.10,PTPRH
ENSG00000080200.10,CRYBG3
ENSG00000080854.15,IGSF9B
ENSG00000081041.9,CXCL2
ENSG00000081985.12,IL12RB2
ENSG00000082397.17,EPB41L3
ENSG00000082438.17,COBLL1
ENSG00000083857.14,FAT1
ENSG00000084110.11,HAL
ENSG00000085276.19,MECOM
ENSG00000087116.16,ADAMTS2
ENSG00000087237.12,CETP
ENSG00000087245.13,MMP2
ENSG00000087495.17,PHACTR3
ENSG00000088827.12,SIGLEC1
ENSG00000088881.21,EBF4
ENSG00000090104.12,RGS1
ENSG00000090661.12,CERS4
ENSG00000091181.19,IL5RA
ENSG00000091436.17,MAP3K20
ENSG00000091972.18,CD200
ENSG00000092067.5,CEBPE
ENSG00000092621.12,PHGDH
ENSG00000092964.18,DPYSL2
ENSG00000095585.17,BLNK
ENSG00000095739.11,BAMBI
ENSG00000095917.14,TPSD1
ENSG00000099256.19,PRTFDC1
ENSG00000099284.14,MACROH2A2
ENSG00000099864.18,PALM
ENSG00000099998.17,GGT5
ENSG00000100033.16,PRODH
ENSG00000100095.19,SEZ6L
ENSG00000100285.10,NEFH
ENSG00000100320.23,RBFOX2
ENSG00000100448.4,CTSG
ENSG00000100473.18,COCH
ENSG00000100678.19,SLC8A3
ENSG00000100852.13,ARHGAP5
ENSG00000101115.13,SALL4
ENSG00000101188.5,NTSR1
ENSG00000101210.12,EEF1A2
ENSG00000101276.17,SLC52A3
ENSG00000101311.15,FERMT1
ENSG00000101333.16,PLCB4
ENSG00000101384.12,JAG1
ENSG00000102595.20,UGGT2
ENSG00000102854.16,MSLN
ENSG00000102996.5,MMP15
ENSG00000103175.11,WFDC1
ENSG00000103855.18,CD276
ENSG00000104055.16,TGM5
ENSG00000104093.13,DMXL2
ENSG00000104177.18,MYEF2
ENSG00000104267.10,CA2
ENSG00000104290.11,FZD3
ENSG00000104341.17,LAPTM4B
ENSG00000104447.12,TRPS1
ENSG00000104921.15,FCER2
ENSG00000104972.15,LILRB1
ENSG00000105205.7,CLC
ENSG00000105251.11,SHD
ENSG00000105270.15,CLIP3
ENSG00000105376.5,ICAM5
ENSG00000105426.17,PTPRS
ENSG00000105472.13,CLEC11A
ENSG00000105737.9,GRIK5
ENSG00000105855.10,ITGB8
ENSG00000105926.15,MPP6
ENSG00000105928.16,GSDME
ENSG00000105971.15,CAV2
ENSG00000105974.12,CAV1
ENSG00000105991.10,HOXA1
ENSG00000105996.7,HOXA2
ENSG00000105997.22,HOXA3
ENSG00000106004.5,HOXA5
ENSG00000106006.6,HOXA6
ENSG00000106034.18,CPED1
ENSG00000106066.15,CPVL
ENSG00000106236.4,NPTX2
ENSG00000106366.9,SERPINE1
ENSG00000106484.16,MEST
ENSG00000106541.12,AGR2
ENSG00000106565.18,TMEM176B
ENSG00000106624.11,AEBP1
ENSG00000106852.15,LHX6
ENSG00000107249.23,GLIS3
ENSG00000107281.10,NPDC1
ENSG00000107282.8,APBA1
ENSG00000107317.13,PTGDS
