entrezid,ensembl,symbol,alias
26,ENSG00000002726,AOC1,ABP|ABP1|DAO|DAO1|KAO|AOC1
28,ENSG00000175164,ABO,A3GALNT|A3GALT1|GTB|NAGAT|ABO
94,ENSG00000139567,ACVRL1,ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I|ACVRL1
105,ENSG00000185736,ADARB2,ADAR3|RED2|ADARB2
108,ENSG00000078295,ADCY2,AC2|HBAC2|ADCY2
112,ENSG00000174233,ADCY6,AC6|LCCS8|ADCY6
133,ENSG00000148926,ADM,AM|PAMP|ADM
150,ENSG00000150594,ADRA2A,ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32|ADRA2A
152,ENSG00000184160,ADRA2C,ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR|ADRA2C
153,ENSG00000043591,ADRB1,ADRB1R|B1AR|BETA1AR|FNSS2|RHR|ADRB1
165,ENSG00000106624,AEBP1,ACLP|AEBP1
182,ENSG00000101384,JAG1,AGS|AGS1|AHD|AWS|CD339|DCHE|HJ1|JAGL1|JAG1
189,ENSG00000172482,AGXT,AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6|AGXT
205,ENSG00000162433,AK4,AK 4|AK3|AK3L1|AK3L2|AK4
216,ENSG00000165092,ALDH1A1,ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1|ALDH1A1
246,ENSG00000161905,ALOX15,12-LOX|15-LOX|15-LOX-1|LOG15|ALOX15
284,ENSG00000154188,ANGPT1,AGP1|AGPT|ANG1|ANGPT1
288,ENSG00000151150,ANK3,ANKYRIN-G|MRT37|ANK3
320,ENSG00000107282,APBA1,D9S411E|LIN10|MINT1|X11|X11A|X11ALPHA|APBA1
351,ENSG00000142192,APP,AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|alpha-sAPP|preA4|APP
374,ENSG00000109321,AREG,AR|AREGB|CRDGF|SDGF|AREG
394,ENSG00000100852,ARHGAP5,GFI2|RhoGAP5|p190-B|p190BRhoGAP|ARHGAP5
445,ENSG00000130707,ASS1,ASS|CTLN1|ASS1
552,ENSG00000166148,AVPR1A,AVPR V1a|AVPR1|V1aR|AVPR1A
566,ENSG00000172232,AZU1,AZAMP|AZU|CAP37|HBP|HUMAZUR|NAZC|hHBP|AZU1
575,ENSG00000181790,ADGRB1,BAI1|GDAIF|ADGRB1
586,ENSG00000060982,BCAT1,BCATC|BCT1|ECA39|MECA39|PNAS121|PP18|BCAT1
595,ENSG00000110092,CCND1,BCL1|D11S287E|PRAD1|U21B31|CCND1
651,ENSG00000152785,BMP3,BMP-3A|BMP3
658,ENSG00000138696,BMPR1B,ALK-6|ALK6|AMDD|BDA1D|BDA2|CDw293|BMPR1B
667,ENSG00000151914,DST,BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBSB2|HSAN6|MACF2|DST
687,ENSG00000119138,KLF9,BTEB|BTEB1|KLF9
717,ENSG00000166278,C2,ARMD14|CO2|C2
747,ENSG00000134780,DAGLA,C11orf11|DAGL(ALPHA)|DAGLALPHA|NSDDR|DAGLA
760,ENSG00000104267,CA2,CA-II|CAC|CAII|Car2|HEL-76|HEL-S-282|CA2
785,ENSG00000182389,CACNB4,CAB4|CACNLB4|EA5|EIG9|EJM|EJM4|EJM6|CACNB4
857,ENSG00000105974,CAV1,BSCL3|CGL3|LCCNS|MSTP085|PPH3|VIP21|CAV1
858,ENSG00000105971,CAV2,CAV|CAV2
862,ENSG00000079102,RUNX1T1,AML1-MTG8|AML1T1|CBFA2T1|CDR|ETO|MTG8|ZMYND2|RUNX1T1
